Año,Presidente
2003,Álvaro Uribe Vélez
2004,Álvaro Uribe Vélez
2005,Álvaro Uribe Vélez
2006,Álvaro Uribe Vélez
2007,Álvaro Uribe Vélez
2008,Álvaro Uribe Vélez
2009,Álvaro Uribe Vélez
2010,Álvaro Uribe Vélez
2011,Juan Manuel Santos Calderón
2012,Juan Manuel Santos Calderón
2013,Juan Manuel Santos Calderón
2014,Juan Manuel Santos Calderón
2015,Juan Manuel Santos Calderón
2016,Juan Manuel Santos Calderón
2017,Juan Manuel Santos Calderón
2018,Juan Manuel Santos Calderón
2019,Iván Duque Márquez
2020,Iván Duque Márquez
2021,Iván Duque Márquez
2022,Iván Duque Márquez
2023,Gustavo Francisco Petro Urrego
2024,Gustavo Francisco Petro Urrego
