RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION
CES-1006124731;DETRACTOR;Certificaciones Especiales;CLASICO;Mal servicio;INCONFORMIDAD SERVICIO
CES-1032423408;DETRACTOR;Certificaciones Especiales;CLASICO;Mala atencion ante un evento de fraude, no tienden agilmente, el dinero que reversaron me lo estan cobrando igual, y se demoran 15 dias para dar una respuesta.;OTRO
CES-1071548131;DETRACTOR;Certificaciones Especiales;CLASICO;Me comunique para solicitar el numero de mi tarjeta de credito para poder realizar el pago pendiente a la fecha, la asesora me dijo que me iba a emitir un certificado donde encontraria ese numero y que iba a ser enviado a mi correo electronico, esto sucedio desde el dia sabado 29 de octubre y a hoy todavia no me ha llegado este documento al correo, tambien me comunique porque la tarjeta de credito que tengo en este momento la adquiri en la feria del hogar que hubo recientemente en corferias con la caracteristica de que no tendria intereses si la compra que realizaba la diferia a 6 o maximo 12 meses y en la primera cuota que me llego ya me estan asignado mas de $10000 en solo interes... La asesora que me atendio me dijo que pondria un requerimiento con esta situacion pero nunca me dio el numero con el cual quedo ese radicado, ni tengo idea de en cuanto tiempo me daran respuesta... Asi que siento que perdi mi tiempo llamando a este servicio.;OTRO
CES-1193582190;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo ya un mes esperando una tarjeta de credito y la enviaron mal 5 veces ya, que desagradable;OTRO
CES-42162366;DETRACTOR;Certificaciones Especiales;CLASICO;Es imposible que desde el 23 de septiembre no hayan contestado un derecho de peticion y aparezca aun en revision;DEMORA TRAMITE
CES-43663693;DETRACTOR;Certificaciones Especiales;PREMIUM;No obtuve respuesta en el tiempo requerido, hasta llegar a quejarme a la superintendencia financiera;DEMORA TRAMITE
1664916203836-33;DETRACTOR;Copia De Documentos Cartera;CLASICO;Yo fui a la oficina q queda en fontibon y la gerente de alla era muy grosera y me toco Casi q pelear con ella para q me atendiera , no me explico como hacen para tener personal asi , deberia ella no trabajar ahi si tanto la estresan los clientes , q diferencia en Colpatria la atencion;OTRO
CES-71764189;DETRACTOR;Certificaciones Especiales;CLASICO;La informacion dada por los asesores ademas de contradictoria entre uno y otro, ni se ajusta al verdadero requerimiento del cliente. La imposibilidad de acceder a una instancia de mayor jerarquia o alcance que pueda resolver las dificultades ralentizan el servicio al cliente. Las respuestas prefiguradas por parte de asesores sin considerar la realidad del cliente es desconcertante y exasperante.;CLARIDAD INFORMACION
CES-94365826;DETRACTOR;Certificaciones Especiales;CLASICO;Los asesores no cumplen con Lo que hablan necesito un certificado detallado del credito y no ha sido posible que me lo entreguen;ENTREGA DOCUMENTOS
1661183037438-34;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Que se nos de los pasos mas claros;CLARIDAD INFORMACION
