RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION;f
Ces-1003240876;DETRACTOR;Certificaciones Especiales;CLASICO;;SIN COMENTARIO;0
Ces-1214743204;DETRACTOR;Certificaciones Especiales;CLASICO;;SIN COMENTARIO;0
CES-1026297204;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;;SIN COMENTARIO;0
1-2984931;DETRACTOR;Poderes Leasing;CLASICO;;SIN COMENTARIO;0
CES-10782083;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;;SIN COMENTARIO;0
1-40824767759;DETRACTOR;Levantamiento De Hipoteca;CLASICO;;SIN COMENTARIO;0
1708350708515-69;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;;SIN COMENTARIO;0
1-39711805862;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;;SIN COMENTARIO;0
Ces-1003240876;DETRACTOR;Certificaciones Especiales;CLASICO;;SIN COMENTARIO;0
Ces-1214743204;DETRACTOR;Certificaciones Especiales;CLASICO;;SIN COMENTARIO;0
CES-1026297204;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;;SIN COMENTARIO;0
1-2984931;DETRACTOR;Poderes Leasing;CLASICO;;SIN COMENTARIO;0
CES-10782083;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;;SIN COMENTARIO;0
1-40824767759;DETRACTOR;Levantamiento De Hipoteca;CLASICO;;SIN COMENTARIO;0
1708350708515-69;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;;SIN COMENTARIO;0
1-39711805862;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;;SIN COMENTARIO;0
1-37064885141;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.;SIN COMENTARIO;1
Ces-1104697712;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.;SIN COMENTARIO;1
Ces-1098685784;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.;SIN COMENTARIO;1
CES-1073517920;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.;SIN COMENTARIO;1
1-37064885141;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.;SIN COMENTARIO;1
Ces-1104697712;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.;SIN COMENTARIO;1
Ces-1098685784;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.;SIN COMENTARIO;1
CES-1073517920;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.;SIN COMENTARIO;1
Ces-1033744142;DETRACTOR;Certificaciones Especiales;CLASICO;Ok;SIN COMENTARIO;2
1679951727492-45;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Na;SIN COMENTARIO;2
1-34721310005;DETRACTOR;Levantamiento De Hipoteca;BANCA PRIVADA;NO;SIN COMENTARIO;2
1-31952488967;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;NO;SIN COMENTARIO;2
1692732254892-13;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Na;SIN COMENTARIO;2
1703014591911-98;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NO;SIN COMENTARIO;2
CES-73129761;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;OK;SIN COMENTARIO;2
Ces-1033744142;DETRACTOR;Certificaciones Especiales;CLASICO;ok;SIN COMENTARIO;2
1679951727492-45;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;na;SIN COMENTARIO;2
1-34721310005;DETRACTOR;Levantamiento De Hipoteca;BANCA PRIVADA;no;SIN COMENTARIO;2
1-31952488967;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;no;SIN COMENTARIO;2
1692732254892-13;DETRACTOR;Levantamiento De Hipoteca;CLASICO;na;SIN COMENTARIO;2
1703014591911-98;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;no;SIN COMENTARIO;2
CES-73129761;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ok;SIN COMENTARIO;2
1678897872769-54;DETRACTOR;Levantamiento De Hipoteca;CLASICO;.NO;SIN COMENTARIO;3
1-1088289278;DETRACTOR;Poderes Leasing;CLASICO;III;SIN COMENTARIO;3
1678897872769-54;DETRACTOR;Levantamiento De Hipoteca;CLASICO;.no;SIN COMENTARIO;3
1-1088289278;DETRACTOR;Poderes Leasing;CLASICO;iii;SIN COMENTARIO;3
Ces-1055332533;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Mala;OTRO;4
CES-1040739345;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MALO;OTRO;4
Ces-79627832;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.....;SIN COMENTARIO;5
CES-15443895;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MALOS;SIN COMENTARIO;5
1720472777434-88;DETRACTOR;Certificaciones Especiales;CLASICO;NADA.;SIN COMENTARIO;5
Ces-79627832;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.....;SIN COMENTARIO;5
CES-15443895;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;malos;SIN COMENTARIO;5
1720472777434-88;DETRACTOR;Certificaciones Especiales;CLASICO;nada.;SIN COMENTARIO;5
Ces-59836825;DETRACTOR;Certificaciones Especiales;CLASICO;Pesima;OTRO;6
1670442671122-47;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Ninguno;SIN COMENTARIO;7
1671211324352-32;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ninguno;SIN COMENTARIO;7
1681500649607-53;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;ninguno;SIN COMENTARIO;7
1-35202823550;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;ninguno;SIN COMENTARIO;7
Pol-42104968;DETRACTOR;Poderes Leasing Call Center;PREMIUM;Gracias;SIN COMENTARIO;7
CES-79713051;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Ninguno;SIN COMENTARIO;7
1670442671122-47;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;ninguno;SIN COMENTARIO;7
1671211324352-32;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ninguno;SIN COMENTARIO;7
